Site,Panel,ID,MotifID,GeneralTechnique,Specific_technique,Colour primary,Category,General Type,Specific Type,Notes or comments,Added to index imagedouble checked,Relevant images,image saved,Contrast state,Superimposition/Reiterative practice,Editing Notes
CH01,1,1,CH01-1-1,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Line Series,"15 parallel lines, vertical",y,IMG_4706,y,3,No,
CH01,1,2,CH01-1-2,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Horizontal pit series,2 pits,y,IMG_4726,y,3,No,
CH01,1,3,CH01-1-3,Petroglyph,Indeterminate,Brown,Non-Figurative,Geometric,Line Series,paint applied,y,,y,2,No,
CH01,1,4,CH01-1-4,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Line Series,"22 parallel lines, vertical. Mostly regular length but 3-5 are much longer than others",y,,y,3,No,
CH01,1,5,CH01-1-5,Pictograph,Infilled or solid,Red,Non-diagnostic,Non-diagnostic,Non-diagnostic,"Smudge of pigment, shape unknown",y,,y,,No,
CH01,1,6,CH01-1-6,Petroglyph,Indeterminate,Red,Non-Figurative,Geometric,Line Series,"Some pigment applied over and rubbed into petroglyph. Sits above CH01-1-8. 15 parallel lines, vertical. Some portions of motif missing",y,,y,2,Yes,
CH01,1,7,CH01-1-7,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Line Series,"Below CH01-1-8. Approx 22 parallel lines, vertical.",y,,y,3,Yes,
CH01,1,8,CH01-1-8,Pictograph,Infilled or solid,Red,Figurative,Animal,Lizard,"Head, tail, 4 distinct appendages visible.",y,IMG_4708_yrd.tif,y,,Yes,
CH01,1,9,CH01-1-9,Petroglyph,Indeterminate,Red,Non-Figurative,Geometric,Line Series,"Sits under CH01-1-8. Quite faint engraved parallel line series, those towards the right have pigment applied (only visible under dstretch)",y,,y,2,Yes,
CH01,1,10,CH01-1-10,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Crescent,"Open crescent, engraved but very faint. C shaped",y,,y,2,No,
CH01,1,11,CH01-1-11,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Line Series,"Long line seriesAlmost obliterated, only noticed after DStretch filter applied",y,IMG_4729_ybk,y,2,Yes,
CH01,1,12,CH01-1-12,Petroglyph,Indeterminate,Not applicable,Non-Figurative,Geometric,Crescent,2-3 inverted crescents nested together,y,IMG_4739_ybk,y,3,No,
